instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
M2_skewed_levels_04.txt,200,20,8,5,4000,2,473300,49400,0.0019998550415039062,True,-92500,0.0030002593994140625,True,414500.0,0.004000425338745117,ok,,,skipped,89,111,32,53,M2_skewed_levels,B,20921515
M2_skewed_levels_05.txt,200,20,8,5,4000,2,454100,74000,0.0020003318786621094,True,-66400,0.003000020980834961,True,419300.0,0.004001140594482422,ok,,,skipped,90,117,36,54,M2_skewed_levels,B,20921516
M2_skewed_levels_06.txt,200,20,8,5,4000,2,530500,53800,0.0019998550415039062,True,-152900,0.0029993057250976562,True,379300.0,0.004001140594482422,ok,,,skipped,85,113,27,47,M2_skewed_levels,B,20921517
M2_skewed_levels_07.txt,200,20,8,5,4000,2,567200,44300,0.001999378204345703,True,-177700,0.001999378204345703,True,458000.0,0.0050008296966552734,ok,,,skipped,85,117,20,52,M2_skewed_levels,B,20921518
M2_skewed_levels_08.txt,200,20,8,5,4000,2,423200,20600,0.003000497817993164,True,-123100,0.0036268234252929688,True,360200.0,0.0037539005279541016,ok,,,skipped,82,114,34,46,M2_skewed_levels,B,20921519
M2_skewed_levels_09.txt,200,20,8,5,4000,2,479000,145100,0.002291440963745117,True,-50200,0.003464221954345703,True,455600.0,0.004357099533081055,ok,,,skipped,98,124,37,48,M2_skewed_levels,B,20921520
M2_skewed_levels_10.txt,200,20,8,5,4000,2,562000,26800,0.002008676528930664,True,-214700,0.0030062198638916016,True,487900.0,0.003512859344482422,ok,,,skipped,80,110,24,50,M2_skewed_levels,B,20921521
M2_skewed_levels_11.txt,200,20,8,5,4000,2,460500,125700,0.0019996166229248047,True,-105900,0.002000093460083008,True,426300.0,0.002999544143676758,ok,,,skipped,96,121,37,57,M2_skewed_levels,B,20921522
M2_skewed_levels_12.txt,200,20,8,5,4000,2,470100,45000,0.0012710094451904297,True,-168600,0.003495931625366211,True,421200.0,0.0031218528747558594,ok,,,skipped,85,106,37,50,M2_skewed_levels,B,20921523
M2_skewed_levels_13.txt,200,20,8,5,4000,2,508300,54400,0.002000093460083008,True,-87800,0.0031585693359375,True,442600.0,0.004106044769287109,ok,,,skipped,84,113,19,39,M2_skewed_levels,B,20921524
